Language = "English"

// TECHNOLOGIES

// Shared - added technologies

ID = "STR_TECH_HUNTING_DOGS_NAME"   ;   Str = "Hunting Dogs"
ID = "STR_UNIT_CHAMPION_BERSERK_NAME"   ;   Str = "Champion Ulfsark"

ID = "STR_UNIT_CAVE_TROLL_NAME"   ;   Str = "Hamarrtroll"

ID = "STR_UNIT_EINHERI_NAME"   ;   Str = "Einherjar"
ID = "STR_UNIT_GIANT_KILLER_EINHERI_NAME"   ;   Str = "Giant-killer Einherjar"

// ATLANTEAN - added technologies


ID = "STR_TECH_HEAVY_CHEIROBALLISTA_NAME"   ;   Str = "Heavy Cheiroballista"
ID = "STR_TECH_HEAVY_CHEIROBALLISTA_LR"   ;   Str = "Cheiroballistae improved to Heavy Cheiroballistae, with more hitpoints and attack."

ID = "STR_TECH_CHAMPION_CHEIROBALLISTA_NAME"   ;   Str = "Champion Cheiroballista"
ID = "STR_TECH_CHAMPION_CHEIROBALLISTA_LR"   ;   Str = "Cheiroballistae improved to Champion Cheiroballistae, with more hitpoints and attack."

ID = "STR_TECH_FOCUS_NAME"   ;   Str = "Focus"
ID = "STR_TECH_FOCUS_LR"   ;   Str = "Kronos forces intense focus upon Oracles, increasing their speed and the speed at which their line of sight grows.  Kronos also increases Hero Oracle's attack and hitpoints."

ID = "STR_TECH_SAFE_PASSAGE_NAME"   ;   Str = "Safe Passage"
ID = "STR_TECH_SAFE_PASSAGE_LR"   ;   Str = "Oranos makes your Sky Passages cheaper, have more line of sight and a ranged attack."

ID = "STR_TECH_EYES_OF_ATLAS_NAME"   ;   Str = "Eyes of Atlas"
ID = "STR_TECH_EYES_OF_ATLAS_LR"   ;   Str = "Atlas increases the line of sight for all your myth units."

ID = "STR_TECH_LEMURIAN_DESCENDANTS_NAME"   ;   Str = "Lemurian Descendants"
ID = "STR_TECH_LEMURIAN_DESCENDANTS_LR"   ;   Str = "Theia increases the line of sight for all your human soldiers and heroes."

// ATLANTEAN - modified technologies

ID = "STR_TECH_LEVY_MAINLINE_SOLDIERS_NAME"   ;   Str = "Levy Mainline Units"

ID = "STR_TECH_CONSCRIPT_MAINLINE_SOLDIERS_NAME"   ;   Str = "Conscript Mainline Units"

ID = "STR_TECH_LEVY_COUNTER_SOLDIERS_NAME"   ;   Str = "Levy Counter Units"

ID = "STR_TECH_CONSCRIPT_COUNTER_SOLDIERS_NAME"   ;   Str = "Conscript Counter Units"

ID = "STR_TECH_ORICHALCUM_WALL_NAME"   ;   Str = "Orichalkos Wall"
ID = "STR_TECH_ORICHALCUM_WALL_LR"   ;   Str = "Upgrades Iron Walls to Orichalkos Walls, with more hitpoints."

ID = "STR_TECH_CHANNELS_LR"   ;   Str = "Gaia lets your economic units move faster."

ID = "STR_TECH_ALLUVIAL_CLAY_LR"   ;   Str = "Prometheus increases the hitpoints of Prometheans and their offspring."

ID = "STR_TECH_BITE_OF_THE_SHARK_LR"   ;   Str = "Oceanus provides Murmillo and Fanatics with serrated swords, increasing their attack."

ID = "STR_TECH_GEMINI_NAME"   ;   Str = "Gemino"
ID = "STR_TECH_GEMINI_LR"   ;   Str = "Hyperion doubles the amount of javelins your Satyr throws."

ID = "STR_TECH_HORNS_OF_CONSECRATION_LR"   ;   Str = "Rheia grants you a faster favor trickle."

ID = "STR_TECH_ORICHALCUM_MAIL_NAME"   ;   Str = "Mail of Orichalkos"
ID = "STR_TECH_ORICHALCUM_MAIL_LR"   ;   Str = "Rheia makes your archers more resistant to hack and pierce attacks, such as swords."

ID = "STR_TECH_RHEIAS_GIFT_LR"   ;   Str = "Rheia reduces the Favor cost of all of your mythological improvements."

ID = "STR_TECH_POSEIDONS_SECRET_LR"   ;   Str = "Theia steals the secrets of Poseidon and gives your Cavalry more speed and attack."

ID = "STR_TECH_LANCE_OF_STONE_LR"   ;   Str = "Theia improves Contarius heroes attack, especially versus buildings."

ID = "STR_TECH_ASPER_BLOOD_LR"   ;   Str = "Hekate makes the blood of Lampades do area damage to units and improves range and recharge time of its special attack."

ID = "STR_TECH_CELERITY_LR"   ;   Str = "Hekate forces myth units to train much faster."

ID = "STR_TECH_HALO_OF_THE_SUN_LR"   ;   Str = "Helios increases damage done by Fire Siphons and Fireships."

ID = "STR_TECH_PETRIFICATION_NAME"   ;   Str = "Petrified"
ID = "STR_TECH_PETRIFICATION_LR"   ;   Str = "Helios petrifies the wood of your siege weapons, making them more resistant to hack attacks, such as swords."

ID = "STR_TECH_TITAN_SHIELD_LR"   ;   Str = "Atlas makes buildings more resistant to crush and hack damage, such as siege or infantry attacks."

// ATLANTEAN - modified units

ID = "STR_UNIT_ORACLE_HERO_LR"   ;   Str = "Hero scout. Line of sight grows rapidly when standing still."
ID = "STR_UNIT_ORACLE_HERO_SR"   ;   Str = "Hero scout. Line of sight grows rapidly when standing still."

ID = "STR_BLD_ORICHALCUM_WALL_NAME"   ;   Str = "Orichalkos Wall"
ID = "STR_BLD_ORICHALCUM_GATE_NAME"   ;   Str = "Orichalkos Gate"


// MISC - modified

ID = "STR_HUD_UNIT_TYPE_ANIMAL_OF_SET"   ;   Str = "Animal of Set"
ID = "STR_HUD_UNIT_TYPE_ABSTRACT_SCOUT"   ;   Str = "Scout"
ID = "STR_HUD_UNIT_TYPE_ABSTRACT_PHARAOH"   ;   Str = "Pharaoh and Son of Osiris"

